vict_descent,area,crm_cd,premis_cd,weapon_used_cd,age_group,time_group
1,4,236,0.0,500.0,3.0,1.0
1,1,860,102.0,400.0,5.0,2.0
1,9,624,0.0,500.0,3.0,2.0
2,1,230,102.0,207.0,1.0,3.0
1,1,626,502.0,400.0,3.0,2.0
2,6,624,501.0,400.0,1.0,4.0
2,1,761,102.0,207.0,2.0,4.0
2,1,0,101.0,400.0,5.0,1.0
1,1,210,0.0,400.0,3.0,4.0
2,1,210,101.0,400.0,5.0,3.0
2,1,210,0.0,500.0,3.0,3.0
1,1,210,102.0,102.0,2.0,4.0
2,1,624,103.0,400.0,3.0,3.0
1,1,230,102.0,207.0,3.0,2.0
2,1,624,102.0,400.0,4.0,4.0
1,1,761,203.0,500.0,3.0,2.0
1,1,624,0.0,400.0,2.0,3.0
1,1,624,0.0,400.0,2.0,3.0
1,1,624,0.0,400.0,2.0,3.0
1,1,624,0.0,400.0,2.0,3.0
1,1,310,0.0,500.0,1.0,4.0
1,1,624,102.0,400.0,5.0,3.0
2,1,624,0.0,400.0,5.0,1.0
1,1,0,108.0,500.0,5.0,4.0
1,1,0,101.0,500.0,5.0,4.0
1,1,930,101.0,400.0,4.0,4.0
1,2,210,101.0,500.0,5.0,4.0
1,1,230,101.0,500.0,3.0,3.0
2,1,624,108.0,400.0,3.0,4.0
1,1,121,502.0,400.0,2.0,3.0
1,1,930,502.0,500.0,4.0,2.0
1,1,624,0.0,500.0,2.0,3.0
1,1,624,502.0,400.0,4.0,3.0
1,1,210,102.0,400.0,5.0,3.0
1,1,624,101.0,400.0,4.0,3.0
1,1,230,0.0,400.0,3.0,3.0
1,1,860,0.0,400.0,2.0,4.0
1,1,624,108.0,400.0,3.0,3.0
2,1,624,102.0,400.0,3.0,4.0
2,1,930,108.0,0.0,3.0,4.0
1,1,930,108.0,0.0,2.0,4.0
2,1,230,102.0,0.0,5.0,4.0
2,21,121,502.0,400.0,3.0,4.0
1,1,740,122.0,500.0,2.0,4.0
1,1,626,0.0,400.0,2.0,2.0
1,1,0,108.0,500.0,2.0,3.0
2,1,236,101.0,400.0,2.0,2.0
1,1,624,502.0,400.0,5.0,3.0
1,5,624,301.0,400.0,4.0,4.0
1,1,624,0.0,400.0,2.0,4.0
1,2,0,502.0,400.0,1.0,4.0
1,1,624,203.0,400.0,3.0,4.0
1,1,624,0.0,400.0,2.0,4.0
1,1,930,0.0,511.0,1.0,3.0
1,1,210,101.0,400.0,5.0,2.0
1,1,625,102.0,500.0,2.0,4.0
1,2,626,102.0,500.0,3.0,4.0
1,1,624,102.0,400.0,5.0,3.0
1,1,624,0.0,400.0,2.0,3.0
2,5,230,501.0,0.0,5.0,1.0
1,1,624,0.0,400.0,5.0,3.0
1,1,0,501.0,106.0,1.0,2.0
1,1,930,502.0,511.0,3.0,4.0
1,6,930,501.0,511.0,3.0,4.0
1,1,210,102.0,312.0,5.0,4.0
1,1,230,101.0,512.0,3.0,2.0
1,1,236,101.0,400.0,2.0,1.0
1,1,624,102.0,400.0,5.0,1.0
1,5,930,203.0,511.0,3.0,3.0
2,1,230,0.0,212.0,2.0,4.0
1,1,230,102.0,400.0,5.0,3.0
1,1,624,102.0,400.0,3.0,3.0
1,1,230,102.0,512.0,2.0,4.0
1,1,624,101.0,400.0,2.0,4.0
1,1,0,101.0,500.0,3.0,4.0
1,1,210,210.0,400.0,2.0,3.0
1,12,624,502.0,400.0,3.0,4.0
1,1,624,102.0,400.0,5.0,2.0
1,1,230,101.0,308.0,3.0,2.0
2,1,626,102.0,400.0,4.0,2.0
2,1,624,102.0,400.0,4.0,3.0
1,1,210,502.0,400.0,5.0,3.0
1,1,210,102.0,400.0,2.0,4.0
2,1,0,102.0,400.0,5.0,3.0
1,1,624,203.0,500.0,3.0,2.0
1,10,761,0.0,0.0,2.0,3.0
2,3,740,122.0,400.0,5.0,2.0
1,12,230,101.0,212.0,4.0,4.0
1,1,624,210.0,400.0,3.0,3.0
